alpha_ch_svm,accuracy,macro_f1,balanced_accuracy
0.0,0.7874251497005988,0.7878108955076166,0.7880325792960065
0.05,0.7874251497005988,0.7878108955076166,0.7880325792960065
0.1,0.7994011976047904,0.8003877221811978,0.8017036614453495
0.15,0.8053892215568862,0.8074950868662022,0.8076644457590749
0.2,0.8203592814371258,0.8205369517908213,0.8225236326770855
0.25,0.8173652694610778,0.8167281785207476,0.8181758065901288
0.3,0.8353293413173652,0.8354142355795157,0.8389836564900504
0.35,0.844311377245509,0.8460739646930774,0.848863695462161
0.4,0.8622754491017964,0.8645143859720432,0.8657181458204477
0.45,0.8712574850299402,0.8730029082349953,0.8749679326917178
0.5,0.8772455089820359,0.8820337796920533,0.882099206822992
0.55,0.8832335329341318,0.8876925768119248,0.8879433626671478
0.6,0.8892215568862275,0.8957360131666258,0.8974471858180297
0.65,0.8922155688622755,0.8991427717826866,0.8994079701317552
0.7,0.9041916167664671,0.9093664667313478,0.9109402916385013
0.75,0.9101796407185628,0.915726019482322,0.9163456970439068
0.8,0.9101796407185628,0.9134287176392439,0.9144814378267064
0.85,0.9131736526946108,0.9169530532923715,0.9167541650994337
0.9,0.9221556886227545,0.9233932332804615,0.9253010236462924
0.95,0.9221556886227545,0.9232521633390517,0.924559105257315
1.0,0.9101796407185628,0.9118092065798974,0.9119922603375288
