alpha_ch_svm,accuracy,macro_f1,balanced_accuracy
0.0,0.6786729857819905,0.6645810966463723,0.686738817882265
0.05,0.6843601895734597,0.6706758564967759,0.6929854806798798
0.1,0.6872037914691943,0.6726574485886168,0.6940569747460555
0.15,0.6928909952606636,0.677966263276469,0.6985549140464264
0.2,0.7004739336492891,0.6848081749030237,0.7035142537522068
0.25,0.7071090047393365,0.6922267164073936,0.7103276959198239
0.3,0.7146919431279621,0.6980308255527328,0.7157813900953226
0.35,0.7260663507109004,0.7090620062983813,0.7276979593083561
0.4,0.7355450236966825,0.7165914488482737,0.73441763545049
0.45,0.7421800947867299,0.721055375370456,0.7380657166925563
0.5,0.7545023696682465,0.7306405307437234,0.747423386533012
0.55,0.7649289099526067,0.7413439367901479,0.7576258262187735
0.6,0.7819905213270142,0.7601860920267928,0.7751085871495395
0.65,0.8018957345971564,0.7815864352618189,0.7941620771999647
0.7,0.8274881516587678,0.8116376017882758,0.8225139801709135
0.75,0.8436018957345972,0.8276076085950613,0.8387589466898877
0.8,0.8710900473933649,0.8578580280677444,0.8671920746384947
0.85,0.885308056872038,0.8679255916445345,0.875379564486661
0.9,0.9023696682464455,0.8799233460395208,0.8939830103686883
0.95,0.9071090047393365,0.8874306640038394,0.9025781994910561
1.0,0.8947867298578199,0.8737871836127269,0.8915569489257128
