order,c,class_weight,nfft,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy
0,0.03,,2048,0.6417061611374408,0.011453124145587282,0.55265088680477,0.030556654316634357,0.5451639331968832,0.027355603547481813
1,0.03,balanced,2048,0.6265402843601896,0.018330881142951404,0.6143949306595188,0.023195388245350654,0.649917225263311,0.02112793773915888
2,0.1,,2048,0.6644549763033175,0.018084155477098508,0.6146432845199781,0.03803839357912143,0.601572743930108,0.03636491587089689
3,0.1,balanced,2048,0.6606635071090048,0.0240914976817798,0.6455095143266965,0.027274300831286426,0.6752321965468803,0.022054950861131444
4,0.3,,2048,0.6720379146919432,0.01974660346540252,0.6476627805424662,0.019876799229708867,0.6358059188587716,0.021487734072086755
5,0.3,balanced,2048,0.6786729857819905,0.03047949799206355,0.6628645794993682,0.03898167430457379,0.6866915601966463,0.033660992301039486
6,1.0,,2048,0.6739336492890995,0.018084155477098535,0.6513049435303397,0.016514048759968144,0.64676217057796,0.021611147235923084
7,1.0,balanced,2048,0.680568720379147,0.022350381274979344,0.6605464111481721,0.02799524784321718,0.6773674589453005,0.02450891368125057
8,3.0,,2048,0.6654028436018958,0.021739042542520792,0.6456695441072258,0.023928866479766275,0.6415065803035728,0.0280115963638321
9,3.0,balanced,2048,0.6758293838862559,0.02132174763829763,0.6561729729036371,0.03195218459346822,0.66542582742826,0.030412275897154353
10,10.0,,2048,0.6587677725118484,0.02416596925873357,0.6379706370816693,0.026118235786025443,0.6357646072783181,0.030782334418449072
11,10.0,balanced,2048,0.6616113744075829,0.024826162755846055,0.6447455442310894,0.03414124945748358,0.6517434278336534,0.03146159377564586
