split,policy,top_k,groups,anchor_accuracy,true_author_in_candidates,candidate_oracle_accuracy,fixable_anchor_errors,unfixable_anchor_errors
trainval_oof,CH_SVM_TOP5,5,1051,0.8829686013320647,1030,0.9800190294957184,102,21
test,CH_SVM_TOP5,5,184,0.907608695652174,181,0.9836956521739131,14,3
trainval_oof,CHIPS_F_TOP5,5,1051,0.8924833491912464,1037,0.9866793529971456,99,14
test,CHIPS_F_TOP5,5,184,0.9130434782608695,182,0.9891304347826086,14,2
trainval_oof,UNION_RRF_TOP5,5,1051,0.8829686013320647,1040,0.9895337773549001,112,11
test,UNION_RRF_TOP5,5,184,0.907608695652174,183,0.9945652173913043,16,1
