policy,C,class_weight,non_anchor_weight,mode,anchor_margin_max,meta_margin_min,cv_accuracy,cv_macro_f1,anchor_cv_accuracy,anchor_cv_macro_f1,net_accuracy_gain,overrides
CH_SVM_TOP5,0.03,,1.0,always,,0.0,0.8991436726926736,0.8750542930913711,0.8829686013320647,0.8577132542751859,0.016175071360608917,54
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.0,0.8924833491912464,0.8679472908611745,0.8829686013320647,0.8577132542751859,0.009514747859181716,18
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.05,0.8924833491912464,0.8679472908611745,0.8829686013320647,0.8577132542751859,0.009514747859181716,18
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.1,0.8915318744053282,0.866801043717652,0.8829686013320647,0.8577132542751859,0.008563273073263544,16
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.2,0.8924833491912464,0.8687437163750286,0.8829686013320647,0.8577132542751859,0.009514747859181716,15
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.0,0.8953377735490009,0.8725374305721284,0.8829686013320647,0.8577132542751859,0.01236917221693623,33
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.05,0.8943862987630827,0.8723529269144878,0.8829686013320647,0.8577132542751859,0.011417697431018059,30
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.1,0.8934348239771646,0.87119833062432,0.8829686013320647,0.8577132542751859,0.010466222645099887,28
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.2,0.8943862987630827,0.8732480421757354,0.8829686013320647,0.8577132542751859,0.011417697431018059,26
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.0,0.9000951474785919,0.8772203697849,0.8829686013320647,0.8577132542751859,0.0171265461465272,43
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.05,0.8991436726926736,0.8770504272209038,0.8829686013320647,0.8577132542751859,0.016175071360608917,40
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.1,0.8962892483349191,0.8746837175901966,0.8829686013320647,0.8577132542751859,0.013320647002854402,36
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.2,0.8981921979067554,0.8782981656932453,0.8829686013320647,0.8577132542751859,0.015223596574690745,33
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.0,0.8991436726926736,0.875222757099742,0.8829686013320647,0.8577132542751859,0.016175071360608917,48
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.05,0.8981921979067554,0.8750676857991453,0.8829686013320647,0.8577132542751859,0.015223596574690745,45
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.1,0.8953377735490009,0.8727116572400412,0.8829686013320647,0.8577132542751859,0.01236917221693623,41
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.2,0.8981921979067554,0.8771204807068685,0.8829686013320647,0.8577132542751859,0.015223596574690745,37
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.0,0.9000951474785919,0.8761618941418623,0.8829686013320647,0.8577132542751859,0.0171265461465272,51
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.05,0.8991436726926736,0.8759761167581446,0.8829686013320647,0.8577132542751859,0.016175071360608917,48
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.1,0.8962892483349191,0.8736218905547137,0.8829686013320647,0.8577132542751859,0.013320647002854402,44
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.2,0.8991436726926736,0.8780284261893765,0.8829686013320647,0.8577132542751859,0.016175071360608917,40
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.0,0.9000951474785919,0.8761618941418623,0.8829686013320647,0.8577132542751859,0.0171265461465272,51
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.05,0.8991436726926736,0.8759761167581446,0.8829686013320647,0.8577132542751859,0.016175071360608917,48
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.1,0.8962892483349191,0.8736218905547137,0.8829686013320647,0.8577132542751859,0.013320647002854402,44
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.2,0.8991436726926736,0.8780284261893765,0.8829686013320647,0.8577132542751859,0.016175071360608917,40
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.0,0.8991436726926736,0.8747156301677999,0.8829686013320647,0.8577132542751859,0.016175071360608917,52
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.05,0.8981921979067554,0.8745298527840821,0.8829686013320647,0.8577132542751859,0.015223596574690745,49
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.1,0.8953377735490009,0.8721767115441423,0.8829686013320647,0.8577132542751859,0.01236917221693623,45
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.2,0.8991436726926736,0.8780284261893765,0.8829686013320647,0.8577132542751859,0.016175071360608917,40
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.5,0.0,0.9000951474785919,0.8765027173448657,0.8829686013320647,0.8577132542751859,0.0171265461465272,53
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.5,0.05,0.8991436726926736,0.8763225983580676,0.8829686013320647,0.8577132542751859,0.016175071360608917,50
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.5,0.1,0.8962892483349191,0.8739694571181278,0.8829686013320647,0.8577132542751859,0.013320647002854402,46
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.5,0.2,0.9000951474785919,0.8798248550564134,0.8829686013320647,0.8577132542751859,0.0171265461465272,41
CH_SVM_TOP5,0.03,,2.0,always,,0.0,0.8934348239771646,0.872793205797742,0.8829686013320647,0.8577132542751859,0.010466222645099887,82
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.02,0.0,0.89058039961941,0.868927025334778,0.8829686013320647,0.8577132542751859,0.007611798287345373,27
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.02,0.05,0.89058039961941,0.868295090257611,0.8829686013320647,0.8577132542751859,0.007611798287345373,24
