split,policy,top_k,groups,anchor_accuracy,true_author_in_candidates,candidate_oracle_accuracy,fixable_anchor_errors,unfixable_anchor_errors
trainval_oof,CH_SVM_TOP5,5,1055,0.8976303317535546,1036,0.9819905213270143,89,19
test,CH_SVM_TOP5,5,185,0.8756756756756757,183,0.9891891891891892,21,2
trainval_oof,CHIPS_F_TOP5,5,1055,0.909952606635071,1039,0.9848341232227488,79,16
test,CHIPS_F_TOP5,5,185,0.8810810810810811,184,0.9945945945945946,21,1
trainval_oof,UNION_RRF_TOP5,5,1055,0.8976303317535546,1041,0.9867298578199052,94,14
test,UNION_RRF_TOP5,5,185,0.8756756756756757,184,0.9945945945945946,22,1
