policy,C,class_weight,non_anchor_weight,mode,anchor_margin_max,meta_margin_min,cv_accuracy,cv_macro_f1,anchor_cv_accuracy,anchor_cv_macro_f1,net_accuracy_gain,overrides
CH_SVM_TOP5,0.03,,1.0,always,,0.0,0.9156398104265403,0.9053712248617434,0.8976303317535546,0.8791543866095448,0.018009478672985746,52
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.0,0.9118483412322275,0.8967810285786191,0.8976303317535546,0.8791543866095448,0.01421800947867291,27
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.05,0.9118483412322275,0.8967810285786191,0.8976303317535546,0.8791543866095448,0.01421800947867291,27
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.1,0.9127962085308057,0.8971764829658193,0.8976303317535546,0.8791543866095448,0.01516587677725112,25
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.2,0.9127962085308057,0.8976386553528041,0.8976303317535546,0.8791543866095448,0.01516587677725112,23
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.0,0.9146919431279621,0.900282503320286,0.8976303317535546,0.8791543866095448,0.017061611374407537,40
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.05,0.9127962085308057,0.8985183674027247,0.8976303317535546,0.8791543866095448,0.01516587677725112,38
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.1,0.9137440758293839,0.8988495923500701,0.8976303317535546,0.8791543866095448,0.016113744075829328,36
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.2,0.9127962085308057,0.8991504591374043,0.8976303317535546,0.8791543866095448,0.01516587677725112,31
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.0,0.9156398104265403,0.9031061359457468,0.8976303317535546,0.8791543866095448,0.018009478672985746,45
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.05,0.9137440758293839,0.9010398499696676,0.8976303317535546,0.8791543866095448,0.016113744075829328,42
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.1,0.9146919431279621,0.9013744770875978,0.8976303317535546,0.8791543866095448,0.017061611374407537,40
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.2,0.9137440758293839,0.9011627524984833,0.8976303317535546,0.8791543866095448,0.016113744075829328,34
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.0,0.9137440758293839,0.9009301151253911,0.8976303317535546,0.8791543866095448,0.016113744075829328,47
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.05,0.9118483412322275,0.8988638291493118,0.8976303317535546,0.8791543866095448,0.01421800947867291,44
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.1,0.9137440758293839,0.9000908026865232,0.8976303317535546,0.8791543866095448,0.016113744075829328,41
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.2,0.9127962085308057,0.8998792821763343,0.8976303317535546,0.8791543866095448,0.01516587677725112,35
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.0,0.9156398104265403,0.9053712248617434,0.8976303317535546,0.8791543866095448,0.018009478672985746,52
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.05,0.9137440758293839,0.903290577386854,0.8976303317535546,0.8791543866095448,0.016113744075829328,49
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.1,0.9146919431279621,0.90275695350941,0.8976303317535546,0.8791543866095448,0.017061611374407537,44
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.15,0.2,0.9137440758293839,0.9016010513059641,0.8976303317535546,0.8791543866095448,0.016113744075829328,37
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.0,0.9156398104265403,0.9053712248617434,0.8976303317535546,0.8791543866095448,0.018009478672985746,52
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.05,0.9137440758293839,0.903290577386854,0.8976303317535546,0.8791543866095448,0.016113744075829328,49
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.1,0.9146919431279621,0.90275695350941,0.8976303317535546,0.8791543866095448,0.017061611374407537,44
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.2,0.2,0.9137440758293839,0.9016010513059641,0.8976303317535546,0.8791543866095448,0.016113744075829328,37
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.0,0.9156398104265403,0.9053712248617434,0.8976303317535546,0.8791543866095448,0.018009478672985746,52
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.05,0.9137440758293839,0.903290577386854,0.8976303317535546,0.8791543866095448,0.016113744075829328,49
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.1,0.9146919431279621,0.90275695350941,0.8976303317535546,0.8791543866095448,0.017061611374407537,44
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.3,0.2,0.9137440758293839,0.9016010513059641,0.8976303317535546,0.8791543866095448,0.016113744075829328,37
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.5,0.0,0.9156398104265403,0.9053712248617434,0.8976303317535546,0.8791543866095448,0.018009478672985746,52
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.5,0.05,0.9137440758293839,0.903290577386854,0.8976303317535546,0.8791543866095448,0.016113744075829328,49
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.5,0.1,0.9146919431279621,0.90275695350941,0.8976303317535546,0.8791543866095448,0.017061611374407537,44
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.5,0.2,0.9137440758293839,0.9016010513059641,0.8976303317535546,0.8791543866095448,0.016113744075829328,37
CH_SVM_TOP5,0.03,,2.0,always,,0.0,0.9137440758293839,0.9040948856841748,0.8976303317535546,0.8791543866095448,0.016113744075829328,70
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.02,0.0,0.9109004739336493,0.8964223910304945,0.8976303317535546,0.8791543866095448,0.013270142180094702,31
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.02,0.05,0.9109004739336493,0.8956038672108493,0.8976303317535546,0.8791543866095448,0.013270142180094702,30
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.02,0.1,0.9118483412322275,0.8965247975280085,0.8976303317535546,0.8791543866095448,0.01421800947867291,26
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.02,0.2,0.9127962085308057,0.8980286874575961,0.8976303317535546,0.8791543866095448,0.01516587677725112,24
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.05,0.0,0.9137440758293839,0.8990910526550391,0.8976303317535546,0.8791543866095448,0.016113744075829328,51
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.05,0.05,0.9146919431279621,0.8981473276980702,0.8976303317535546,0.8791543866095448,0.017061611374407537,46
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.05,0.1,0.9156398104265403,0.8990808853705937,0.8976303317535546,0.8791543866095448,0.018009478672985746,42
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.05,0.2,0.9165876777251185,0.9019431251445195,0.8976303317535546,0.8791543866095448,0.018957345971563955,38
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.08,0.0,0.9137440758293839,0.9008104498623962,0.8976303317535546,0.8791543866095448,0.016113744075829328,58
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.08,0.05,0.9146919431279621,0.8999178107953538,0.8976303317535546,0.8791543866095448,0.017061611374407537,53
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.08,0.1,0.9156398104265403,0.8999285775136375,0.8976303317535546,0.8791543866095448,0.018009478672985746,47
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.08,0.2,0.9165876777251185,0.9023093084213839,0.8976303317535546,0.8791543866095448,0.018957345971563955,42
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.1,0.0,0.9127962085308057,0.9004894466353776,0.8976303317535546,0.8791543866095448,0.01516587677725112,61
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.1,0.05,0.9127962085308057,0.8977085621896774,0.8976303317535546,0.8791543866095448,0.01516587677725112,55
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.1,0.1,0.9137440758293839,0.8977373245373047,0.8976303317535546,0.8791543866095448,0.016113744075829328,49
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.1,0.2,0.9146919431279621,0.9001351649535858,0.8976303317535546,0.8791543866095448,0.017061611374407537,44
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.15,0.0,0.9156398104265403,0.9053005125830902,0.8976303317535546,0.8791543866095448,0.018009478672985746,67
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.15,0.05,0.9156398104265403,0.9025219834109904,0.8976303317535546,0.8791543866095448,0.018009478672985746,61
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.15,0.1,0.9165876777251185,0.9025459856459281,0.8976303317535546,0.8791543866095448,0.018957345971563955,55
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.15,0.2,0.9165876777251185,0.9036492604352496,0.8976303317535546,0.8791543866095448,0.018957345971563955,48
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.2,0.0,0.9146919431279621,0.904670320203838,0.8976303317535546,0.8791543866095448,0.017061611374407537,69
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.2,0.05,0.9146919431279621,0.9018945116369576,0.8976303317535546,0.8791543866095448,0.017061611374407537,63
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.2,0.1,0.9156398104265403,0.9014931884065227,0.8976303317535546,0.8791543866095448,0.018009478672985746,56
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.2,0.2,0.9165876777251185,0.9036492604352496,0.8976303317535546,0.8791543866095448,0.018957345971563955,48
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.3,0.0,0.9146919431279621,0.904670320203838,0.8976303317535546,0.8791543866095448,0.017061611374407537,69
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.3,0.05,0.9146919431279621,0.9018945116369576,0.8976303317535546,0.8791543866095448,0.017061611374407537,63
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.3,0.1,0.9156398104265403,0.9014931884065227,0.8976303317535546,0.8791543866095448,0.018009478672985746,56
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.3,0.2,0.9165876777251185,0.9036492604352496,0.8976303317535546,0.8791543866095448,0.018957345971563955,48
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.5,0.0,0.9146919431279621,0.904670320203838,0.8976303317535546,0.8791543866095448,0.017061611374407537,69
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.5,0.05,0.9146919431279621,0.9018945116369576,0.8976303317535546,0.8791543866095448,0.017061611374407537,63
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.5,0.1,0.9156398104265403,0.9014931884065227,0.8976303317535546,0.8791543866095448,0.018009478672985746,56
CH_SVM_TOP5,0.03,,2.0,anchor_margin_gate,0.5,0.2,0.9165876777251185,0.9036492604352496,0.8976303317535546,0.8791543866095448,0.018957345971563955,48
