split,policy,top_k,groups,anchor_accuracy,true_author_in_candidates,candidate_oracle_accuracy,fixable_anchor_errors,unfixable_anchor_errors
trainval_oof,CH_SVM_TOP5,5,1051,0.8763082778306375,1025,0.9752616555661275,104,26
test,CH_SVM_TOP5,5,184,0.8804347826086957,181,0.9836956521739131,19,3
trainval_oof,CHIPS_F_TOP5,5,1051,0.89058039961941,1033,0.9828734538534729,97,18
test,CHIPS_F_TOP5,5,184,0.9021739130434783,183,0.9945652173913043,17,1
trainval_oof,UNION_RRF_TOP5,5,1051,0.8763082778306375,1036,0.9857278782112274,115,15
test,UNION_RRF_TOP5,5,184,0.8804347826086957,183,0.9945652173913043,21,1
