alpha_ch_svm,accuracy,macro_f1,balanced_accuracy
0.0,0.6374881065651761,0.6018402721948154,0.6236931582498906
0.05,0.6431969552806851,0.6077344794506195,0.6282249737400276
0.1,0.6498572787821123,0.6126654433633935,0.6321505663874248
0.15,0.6565176022835395,0.6183967325933742,0.6384161489162835
0.2,0.659372026641294,0.6211433057118035,0.640708534014367
0.25,0.6679352997145576,0.6286125240454536,0.646814518197122
0.3,0.6707897240723121,0.6315603770376802,0.6498667393933877
0.35,0.6784015223596574,0.6355193326985491,0.6541376274553322
0.4,0.6888677450047573,0.649245484385891,0.6692393136360416
0.45,0.7059942911512845,0.6662497392206073,0.6853543049903855
0.5,0.7212178877259753,0.6828248068712796,0.7038579182999831
0.55,0.7354900095147479,0.7005874310252792,0.7235364051215663
0.6,0.7526165556612749,0.7174190436177214,0.7375436571482572
0.65,0.7725975261655567,0.7416300082952478,0.7608346614535997
0.7,0.7982873453853473,0.7681328371511659,0.7864511434563409
0.75,0.8249286393910561,0.7947002592449435,0.8110609346488591
0.8,0.8468125594671742,0.8141600010597094,0.8311783952330227
0.85,0.8772597526165556,0.8493415305325737,0.8650625947546156
0.9,0.8915318744053282,0.8702145555379948,0.8816119891561204
0.95,0.8896289248334919,0.8658278458899987,0.8795938784783172
1.0,0.8744053282588011,0.8456464307910141,0.8645485701200836
