policy,C,class_weight,non_anchor_weight,mode,anchor_margin_max,meta_margin_min,cv_accuracy,cv_macro_f1,anchor_cv_accuracy,anchor_cv_macro_f1,net_accuracy_gain,overrides
CH_SVM_TOP5,0.03,,1.0,always,,0.0,0.9165876777251185,0.9055313383588385,0.8985781990521327,0.8786310587927901,0.018009478672985857,48
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.0,0.9118483412322275,0.8956273034104933,0.8985781990521327,0.8786310587927901,0.013270142180094813,25
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.05,0.9118483412322275,0.8956273034104933,0.8985781990521327,0.8786310587927901,0.013270142180094813,25
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.1,0.9118483412322275,0.8956273034104933,0.8985781990521327,0.8786310587927901,0.013270142180094813,25
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.02,0.2,0.9118483412322275,0.8959887606314443,0.8985781990521327,0.8786310587927901,0.013270142180094813,23
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.0,0.9146919431279621,0.8995960077129089,0.8985781990521327,0.8786310587927901,0.01611374407582944,39
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.05,0.9156398104265403,0.9001496704842223,0.8985781990521327,0.8786310587927901,0.017061611374407648,38
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.1,0.9156398104265403,0.9001496704842223,0.8985781990521327,0.8786310587927901,0.017061611374407648,38
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.05,0.2,0.9146919431279621,0.8993434156400635,0.8985781990521327,0.8786310587927901,0.01611374407582944,34
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.0,0.9165876777251185,0.9030873001109215,0.8985781990521327,0.8786310587927901,0.018009478672985857,43
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.05,0.9175355450236967,0.9034554247583002,0.8985781990521327,0.8786310587927901,0.018957345971564066,41
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.1,0.9175355450236967,0.9034554247583002,0.8985781990521327,0.8786310587927901,0.018957345971564066,41
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.08,0.2,0.9156398104265403,0.9011660476250188,0.8985781990521327,0.8786310587927901,0.017061611374407648,36
CH_SVM_TOP5,0.03,,1.0,anchor_margin_gate,0.1,0.0,0.9165876777251185,0.9030873001109215,0.8985781990521327,0.8786310587927901,0.018009478672985857,43
