split,policy,top_k,groups,anchor_accuracy,true_author_in_candidates,candidate_oracle_accuracy,fixable_anchor_errors,unfixable_anchor_errors
trainval_oof,CH_SVM_TOP5,5,1055,0.8985781990521327,1035,0.981042654028436,87,20
test,CH_SVM_TOP5,5,185,0.8756756756756757,183,0.9891891891891892,21,2
trainval_oof,CHIPS_F_TOP5,5,1055,0.9080568720379147,1038,0.9838862559241706,80,17
test,CHIPS_F_TOP5,5,185,0.8810810810810811,184,0.9945945945945946,21,1
trainval_oof,UNION_RRF_TOP5,5,1055,0.8985781990521327,1041,0.9867298578199052,93,14
test,UNION_RRF_TOP5,5,185,0.8756756756756757,184,0.9945945945945946,22,1
