author,category,feature_count,positive_weight_l1,negative_weight_l1,absolute_weight_l1,absolute_weight_share,strongest_positive_feature,strongest_positive_latex,strongest_positive_weight
Ispirescu,whitespace,4,0.5503648384397032,0.0,0.5503648384397032,0.03155986038659837,char_freq:SPACE,freq(space),0.183511098263126
Oltean,case,1,0.0,0.34491121666402436,0.34491121666402436,0.021119896694857875,uppercase_ratio,uppercase ratio,-0.34491121666402436
Oltean,diacritic,10,0.24266939231128115,1.0517947475053049,1.2944641398165861,0.07926372813428982,char_freq:â,freq(a-circumflex),0.1951416927095059
Oltean,digit,11,0.3747066158825228,0.7654545881033616,1.1401612039858844,0.06981531965405144,char_freq:3,freq(3),0.11910761368138831
Oltean,distribution,1,0.4132291658907966,0.0,0.4132291658907966,0.025303199412668478,char_entropy,char entropy,0.4132291658907966
Oltean,length,1,0.0,0.07066829481923398,0.07066829481923398,0.0043272210762511166,log1p_length,log1p length,-0.07066829481923398
Oltean,letter,54,2.033973818999365,5.188376855309211,7.222350674308577,0.44224511342586414,char_freq:e,freq(e),0.2279860715107936
Oltean,punctuation,17,1.2568921612059845,4.284777141657168,5.541669302863152,0.33933220359006816,char_freq:.,freq(period),0.6774049914071288
Oltean,symbol,3,0.05074456474342949,0.0022990424105016833,0.053043607153931166,0.0032480112251753847,char_freq:¬,freq(¬),0.04628327238887402
Oltean,whitespace,4,0.1832331168028108,0.06737267499528615,0.25060579179809694,0.01534530678677382,char_freq:NEWLINE,freq(newline),0.0916165584014054
Plugaru,case,1,0.0,0.27621471815360055,0.27621471815360055,0.018545019683529774,uppercase_ratio,uppercase ratio,-0.27621471815360055
Plugaru,diacritic,10,0.8378636032385303,0.46233845044694133,1.3002020536854717,0.08729539410262087,char_freq:ă,freq(a-breve),0.35733538688272126
Plugaru,digit,11,0.1455041781893734,1.2462064583828,1.3917106365721734,0.09343926826758153,char_freq:1,freq(1),0.1420832710661716
Plugaru,distribution,1,1.2821849966823198,0.0,1.2821849966823198,0.08608573127583072,char_entropy,char entropy,1.2821849966823198
Plugaru,length,1,0.0,0.00035822068244596836,0.00035822068244596836,2.4050889291546447e-05,log1p_length,log1p length,-0.00035822068244596836
Plugaru,letter,54,2.6292844883110957,2.987488300981774,5.61677278929287,0.3771093829888764,char_freq:e,freq(e),0.3272146049085367
Plugaru,punctuation,17,0.15808860186541837,4.021385155053272,4.17947375691869,0.2806093158502564,char_freq:.,freq(period),0.1304491843030606
Plugaru,symbol,3,0.0,0.14235015857896485,0.14235015857896485,0.009557370839784397,char_freq:​,freq(U+200B),-0.0033456807996363586
Plugaru,whitespace,4,0.3762749953607721,0.3287378024951336,0.7050127978559058,0.04733446610222837,char_freq:SPACE,freq(space),0.18813749768038604
Rebreanu,case,1,0.0,0.11165010637615573,0.11165010637615573,0.01168854478356345,uppercase_ratio,uppercase ratio,-0.11165010637615573
Rebreanu,diacritic,10,0.25420937285127704,0.2449782448818102,0.49918761773308723,0.05225948290291671,char_freq:ă,freq(a-breve),0.12460503067677672
Rebreanu,digit,11,0.05330850273193085,0.22801682587855196,0.28132532861048276,0.029451684453715717,char_freq:2,freq(2),0.018990450761181672
Rebreanu,distribution,1,1.3835228402682682,0.0,1.3835228402682682,0.14483970685237207,char_entropy,char entropy,1.3835228402682682
Rebreanu,length,1,0.0,0.03341431880389153,0.03341431880389153,0.0034981136554918892,log1p_length,log1p length,-0.03341431880389153
Rebreanu,letter,54,2.18773630996147,2.583307634270614,4.771043944232085,0.4994761099342362,char_freq:a,freq(a),0.3447252438235341
Rebreanu,punctuation,17,0.23279117724731957,1.7281433789941463,1.960934556241466,0.2052883971381549,char_freq:…,freq(ellipsis),0.10390358994256885
Rebreanu,symbol,3,0.0,0.178869992179087,0.178869992179087,0.01872573150066791,char_freq:­,freq(U+00AD),-0.016495275148054985
Rebreanu,whitespace,4,0.05589768512138442,0.27624999570518743,0.33214768082657187,0.03477222877888133,char_freq:SPACE,freq(space),0.02794884256069221
Slavici,case,1,0.0,0.042812254540730545,0.042812254540730545,0.004859021673974257,uppercase_ratio,uppercase ratio,-0.042812254540730545
Slavici,diacritic,10,0.10890866719976966,0.45940347020101663,0.5683121374007863,0.0645011813284883,romanian_diacritic_ratio,romanian diacritic ratio,0.039825054632611996
Slavici,digit,11,0.1617234966034491,0.27256441073329524,0.43428790733674427,0.04928996095000223,char_freq:1,freq(1),0.0447218554803605
Slavici,distribution,1,0.617662546292969,0.0,0.617662546292969,0.07010225767915029,char_entropy,char entropy,0.617662546292969
Slavici,length,1,0.0387130626117475,0.0,0.0387130626117475,0.004393779592182947,log1p_length,log1p length,0.0387130626117475
Slavici,letter,54,2.1198115860898294,1.4282493354721466,3.5480609215619756,0.40269089080671744,char_freq:a,freq(a),0.27150402928004536
Slavici,punctuation,17,0.4979702516470881,1.6593530031979442,2.157323254845032,0.2448476625562413,char_freq:-,freq(dash),0.14007606754947705
Slavici,symbol,3,0.22667844906499524,0.1874933618351216,0.41417181090011684,0.047006863513768475,char_freq:¬,freq(¬),0.20188552501803422
Slavici,whitespace,4,0.9895356216851812,0.0,0.9895356216851812,0.11230838189947472,char_freq:SPACE,freq(space),0.33777391302281423
